rsid,bbl,tid,longi,lat,street,inaddress,type1,type2,outadd,tigerlineid
10542,3051300019,36047082400,-73.950966,40.64682,L,"2819 TILDEN AVE,, BROOKLYN,, NY,, 11226",Match,Exact,"2819 TILDEN AVE, BROOKLYN, NY, 11226",59081493
10543,3051300202,36047082400,-73.951096,40.647213,L,"71 E 28TH ST,, BROOKLYN,, NY,, 11226",Match,Exact,"71 E 28TH ST, BROOKLYN, NY, 11226",59081484
10544,3051310026,36047082400,-73.950195,40.647575,L,"41 E 29TH ST,, BROOKLYN,, NY,, 11226",Match,Exact,"41 E 29TH ST, BROOKLYN, NY, 11226",59081488
10545,3005130004,36047005900,-74.005424,40.679348,L,"371 COLUMBIA ST,, BROOKLYN,, NY,, 11231",Match,Exact,"371 COLUMBIA ST, BROOKLYN, NY, 11231",59093695
10546,3051350013,36047079200,-73.95478,40.646656,R,"2330 TILDEN AVE,, BROOKLYN,, NY,, 11226",Match,Exact,"2330 TILDEN AVE, BROOKLYN, NY, 11226",59081390
10547,3051350014,36047079200,-73.95477,40.64666,R,"2332 TILDEN AVE,, BROOKLYN,, NY,, 11226",Match,Exact,"2332 TILDEN AVE, BROOKLYN, NY, 11226",59081390
10548,3051350044,36047079200,-73.95504,40.64541,L,"2391 BEDFORD AVE,, BROOKLYN,, NY,, 11226",Match,Exact,"2391 BEDFORD AVE, BROOKLYN, NY, 11226",59081370
10549,3051360039,36047079200,-73.95358,40.64485,L,"2525 BEVERLEY RD,, BROOKLYN,, NY,, 11226",Match,Exact,"2525 BEVERLEY RD, BROOKLYN, NY, 11226",59081443
10550,3051360059,36047079200,-73.95404,40.645576,L,"175 LOTT ST,, BROOKLYN,, NY,, 11226",Match,Exact,"175 LOTT ST, BROOKLYN, NY, 11226",59081391
10551,3051390032,36047082600,-73.95068,40.64503,L,"2815 BEVERLEY RD,, BROOKLYN,, NY,, 11226",Match,Exact,"2815 BEVERLEY RD, BROOKLYN, NY, 11226",59081534
10552,3051390035,36047082600,-73.95073,40.64503,L,"2809 BEVERLEY RD,, BROOKLYN,, NY,, 11226",Match,Exact,"2809 BEVERLEY RD, BROOKLYN, NY, 11226",59081534
10553,3051390035,36047082600,-73.95079,40.645027,L,"2801 BEVERLEY RD,, BROOKLYN,, NY,, 11226",Match,Exact,"2801 BEVERLEY RD, BROOKLYN, NY, 11226",59081534
10554,3051390035,36047082600,-73.95094,40.645775,L,"159 E 28TH ST,, BROOKLYN,, NY,, 11226",Match,Exact,"159 E 28TH ST, BROOKLYN, NY, 11226",59081486
10555,3051400037,36047082600,-73.94982,40.645084,L,"2905 BEVERLEY RD,, BROOKLYN,, NY,, 11226",Match,Exact,"2905 BEVERLEY RD, BROOKLYN, NY, 11226",59081536
10556,3051410122,36047152200,-73.96888,40.639637,L,"735 CONEY ISLAND AVE,, BROOKLYN,, NY,, 11218",Match,Exact,"735 CONEY ISLAND AVE, BROOKLYN, NY, 11218",642653611
10557,3051410133,36047152200,-73.96905,40.64022,L,"707 CONEY ISLAND AVE,, BROOKLYN,, NY,, 11218",Match,Exact,"707 CONEY ISLAND AVE, BROOKLYN, NY, 11218",642653611
10558,3051410032,36047152200,-73.96964,40.64305,R,"14 LEWIS PL,, BROOKLYN,, NY,, 11218",Match,Exact,"14 LEWIS PL, BROOKLYN, NY, 11218",59080916
10559,3051430084,36047015100,-73.98462,40.66584,L,"365 E 12TH ST,, BROOKLYN,, NY,, 11218",Match,Non_Exact,"365 12TH ST, BROOKLYN, NY, 11215",59075721
10560,3051430084,36047015100,-73.98497,40.666008,L,"355 E 12TH ST,, BROOKLYN,, NY,, 11218",Match,Non_Exact,"355 12TH ST, BROOKLYN, NY, 11215",59075721
10561,3051430084,36047152200,-73.96716,40.640697,L,"365 WESTMINSTER RD,, BROOKLYN,, NY,, 11218",Match,Exact,"365 WESTMINSTER RD, BROOKLYN, NY, 11218",59080933
10562,3051460074,36047152200,-73.964485,40.64155,L,"355 MARLBOROUGH RD,, BROOKLYN,, NY,, 11226",Match,Exact,"355 MARLBOROUGH RD, BROOKLYN, NY, 11226",59080929
10563,3051460076,36047152200,-73.96451,40.64167,L,"349 MARLBOROUGH RD,, BROOKLYN,, NY,, 11226",Match,Exact,"349 MARLBOROUGH RD, BROOKLYN, NY, 11226",59080929
10564,3051460078,36047152200,-73.96453,40.641796,L,"343 MARLBOROUGH RD,, BROOKLYN,, NY,, 11226",Match,Exact,"343 MARLBOROUGH RD, BROOKLYN, NY, 11226",59080929
10565,3051470003,36047051400,-73.96394,40.644417,R,"1608 BEVERLEY RD,, BROOKLYN,, NY,, 11226",Match,Exact,"1608 BEVERLEY RD, BROOKLYN, NY, 11226",59081003
10566,3051470038,36047051400,-73.9627,40.642216,R,"358 E 17TH ST,, BROOKLYN,, NY,, 11226",Match,Non_Exact,"358 E 17TH ST, BROOKLYN, NY, 11226",59081004
10567,3051470007,36047051400,-73.96386,40.64443,R,"1618 BEVERLEY RD,, BROOKLYN,, NY,, 11226",Match,Exact,"1618 BEVERLEY RD, BROOKLYN, NY, 11226",59081003
10568,3051490056,36047014300,-73.99015,40.662117,L,"287 E 18TH ST,, BROOKLYN,, NY,, 11226",Match,Non_Exact,"287 18TH ST, BROOKLYN, NY, 11215",59075757
10569,3051490008,36047014300,-73.99348,40.6632,R,"200 E 19TH ST,, BROOKLYN,, NY,, 11226",Match,Non_Exact,"200 19TH ST, BROOKLYN, NY, 11232",642653933
10570,3051500001,36047051400,-73.9611,40.64473,R,"1902 BEVERLEY RD,, BROOKLYN,, NY,, 11226",Match,Exact,"1902 BEVERLEY RD, BROOKLYN, NY, 11226",59081020
10571,3051500013,36047051400,-73.95994,40.644413,R,"750 OCEAN AVE,, BROOKLYN,, NY,, 11226",Match,Exact,"750 OCEAN AVE, BROOKLYN, NY, 11226",59081021
10572,3051500018,36047051400,-73.95987,40.644054,R,"768 OCEAN AVE,, BROOKLYN,, NY,, 11226",Match,Exact,"768 OCEAN AVE, BROOKLYN, NY, 11226",59081021
10573,3051500018,36047051400,-73.959885,40.644135,R,"764 OCEAN AVE,, BROOKLYN,, NY,, 11226",Match,Exact,"764 OCEAN AVE, BROOKLYN, NY, 11226",59081021
10574,3051500021,36047051400,-73.95986,40.644012,R,"770 OCEAN AVE,, BROOKLYN,, NY,, 11226",Match,Exact,"770 OCEAN AVE, BROOKLYN, NY, 11226",59081021
10575,3051500006,36047051400,-73.96,40.644733,R,"734 OCEAN AVE,, BROOKLYN,, NY,, 11226",Match,Exact,"734 OCEAN AVE, BROOKLYN, NY, 11226",59081021
10576,3051510001,36047051400,-73.959946,40.64451,L,"735 OCEAN AVE,, BROOKLYN,, NY,, 11226",Match,Exact,"735 OCEAN AVE, BROOKLYN, NY, 11226",59081021
10577,3051510001,36047051400,-73.95995,40.644547,L,"733 OCEAN AVE,, BROOKLYN,, NY,, 11226",Match,Exact,"733 OCEAN AVE, BROOKLYN, NY, 11226",59081021
10578,3051510010,36047051400,-73.95974,40.64488,R,"2022 BEVERLEY RD,, BROOKLYN,, NY,, 11226",Match,Exact,"2022 BEVERLEY RD, BROOKLYN, NY, 11226",59081024
10579,3051510011,36047014700,-73.98931,40.658863,R,"390 E 21ST ST,, BROOKLYN,, NY,, 11226",Match,Non_Exact,"390 21ST ST, BROOKLYN, NY, 11215",59075773
10580,3051510012,36047051400,-73.95889,40.64446,R,"400 E 21ST ST,, BROOKLYN,, NY,, 11226",Match,Non_Exact,"400 E 21ST ST, BROOKLYN, NY, 11226",59081025
10581,3051510021,36047051400,-73.9588,40.644005,R,"420 E 21ST ST,, BROOKLYN,, NY,, 11226",Match,Non_Exact,"420 E 21ST ST, BROOKLYN, NY, 11226",59081025
10582,3051510028,36047051400,-73.95978,40.643642,L,"781 OCEAN AVE,, BROOKLYN,, NY,, 11226",Match,Exact,"781 OCEAN AVE, BROOKLYN, NY, 11226",59081021
10583,3051510033,36047051400,-73.95987,40.64413,L,"755 OCEAN AVE,, BROOKLYN,, NY,, 11226",Match,Exact,"755 OCEAN AVE, BROOKLYN, NY, 11226",59081021
10584,3051520001,36047051400,-73.95884,40.644978,R,"2102 BEVERLEY RD,, BROOKLYN,, NY,, 11226",Match,Exact,"2102 BEVERLEY RD, BROOKLYN, NY, 11226",59081028
10585,3051520025,36047051400,-73.95889,40.64454,L,"409 E 21ST ST,, BROOKLYN,, NY,, 11226",Match,Exact,"409 E 21ST ST, BROOKLYN, NY, 11226",59081025
10586,3051520028,36047051400,-73.958954,40.64487,L,"401 E 21ST ST,, BROOKLYN,, NY,, 11226",Match,Non_Exact,"401 E 21ST ST, BROOKLYN, NY, 11226",59081025
10587,3051530031,36047052600,-73.967606,40.63796,R,"428 STRATFORD RD,, BROOKLYN,, NY,, 11218",Match,Exact,"428 STRATFORD RD, BROOKLYN, NY, 11218",59081051
10588,3051530040,36047052600,-73.96817,40.63733,L,"1001 DORCHESTER RD,, BROOKLYN,, NY,, 11218",Match,Exact,"1001 DORCHESTER RD, BROOKLYN, NY, 11218",59081064
10589,3051530064,36047052600,-73.968605,40.63863,L,"763 CONEY ISLAND AVE,, BROOKLYN,, NY,, 11218",Match,Exact,"763 CONEY ISLAND AVE, BROOKLYN, NY, 11218",59081049
